Conference Acronym	Conference Name	Conference Location	ResearchArea
NLMLT 2023	2nd International Conference on NLP and Machine Learning Trends	Dubai, UAE	AI
IJFLS 2023	International Journal of Fuzzy Logic Systems	N/A	AI
NLDM 2023	3rd International Conference on NLP & Data Mining	Zurich, Switzerland	AI
VLSICS 2023	International Journal of VLSI design & Communication Systems  	N/A	AI
WiMoA 2023	15th International Conference on Wireless, Mobile Network & Applications	Sydney, Australia	AI
SIPR 2023	9th International Conference on Signal Processing and Pattern Recognition 	Vienna, Austria	AI
JMICRO 2023	International Journal of Microwave Engineering	N/A	AI
CSTY 2023	9th International Conference on Computer Science and Information Technology	Sydney, Australia	AI
IJCSES 2023	International Journal of Computer Science and Engineering Survey	N/A	AI
AIAT 2023	2023 the 3rd International Conference on Artificial Intelligence and Application Technologies (AIAT 2023)	Tokyo, Japan	AI
AI 2023	9th International Conference on Artificial Intelligence and Applications	Sydney, Australia	AI
AISO 2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich, Switzerland	AI
CEU 2024	7th International Conference on Civil Engineering and Urban Planning 	Virtual Conference	AI
EDUTEC 2024	3rd International Conference on Education and Technology	Virtual Conference	AI
ENERGY 2023	International Conference on Energy	Virtual Conference	AI
CSIJ 2023	Circuits and Systems: An International Journal (CSIJ)	N/A	AI
ACITY 2023	13th International Conference on Advances in Computing and Information Technology	London, United Kingdom	AI
IEEE ICCR 2023	IEEE--2023 5th International Conference on Control and Robotics (ICCR 2023)	Tokyo, Japan	AI
ISTECH 2023	International Conference on Information Science and Techniques 	Virtual Conference	AI
IJCCSA 2023	International Journal on Cloud Computing: Services and Architecture 	N/A	AI
ITCS  2023	International Conference on Information Technology Convergence and Services 	Dubai, UAE	AI
GridCom 2023	15th International Conference on Grid Computing	Sydney, Australia	AI
SEMIT 2023	4th International Conference on Software Engineering and Managing Information Technology	Sydney, Australia	AI
DPPR 2023	13th International Conference on Digital Image Processing and Pattern Recognition	London, United Kingdom	AI
IJCSITCE 2023	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A	AI
NLP 2023	12th International Conference on Natural Language Processing	Vienna, Austria	AI
AMS 2023	Advanced Medical Sciences: An International Journal	N/A	AI
IJNSA 2023	International Journal of Network Security & Its Applications - ERA, WJCI Listed, H index - 47	N/A	AI
IJAIA 2023	International Journal of Artificial Intelligence & Applications - H Index - 35	N/A	AI
ECIJ 2023	Electrical & Computer Engineering: An International Journal	N/A	AI
IJDPS 2023	International Journal of Distributed and Parallel systems	N/A	AI
IJBISS 2023	International Journal of Business Information Systems Strategies	N/A	AI
MathSJ 2023	Applied Mathematics and Sciences: An International Journal 	N/A	AI
CAIJ 2023	Computer Applications: An International Journal	N/A	AI
IJASA 2023	The International Journal of Ambient Systems and applications	N/A	AI
ICCIoT 2024	5th International Conference on Cloud and Internet of Things	Zurich, Switzerland	AI
 IJHAS 2023	International Journal of Humanities, Art and Social Studies	N/A	AI
MLAIJ 2023	Machine Learning and Applications: An International Journal 	N/A	AI
MEIJ 2023	Mechanical Engineering: An International Journal	N/A	AI
EEIJ 2023	Electrical Engineering: An International Journal 	N/A	AI
IJSCMC 2023	International Journal of Soft Computing, Mathematics and Control 	N/A	AI
IJMIT 2023	International Journal of Managing Information Technology- WJCI Indexed, H index 24	N/A	AI
NIAI 2024	5th International Conference on Natural Language Processing, Information Retrieval and AI	Zurich, Switzerland	AI
CCNET 2024	11th International Conference on Computer Networks & Communications	Copenhagen, Denmark	AI
IJSEA 2023	International Journal of Software Engineering & Applications - ERA  Indexed, H Index 31	N/A	AI
IJFCST 2023	International Journal on Foundations of Computer Science & Technology	N/A	AI
CSCS 2023	ACM Computer Science in Cars Symposium	Darmstadt, Germany	AI
MoWiN  2024	13th International Conference on Mobile & Wireless Networks 	Zurich, Switzerland	AI
IJDKP 2023	International Journal of Data Mining & Knowledge Management Process	N/A	AI
IJCCMS 2023	International Journal of Chaos, Control, Modelling and Simulation 	N/A	AI
IJMECH 2023	International Journal of Recent Advances in Mechanical Engineering	N/A	AI
IJSCAI 2023	International Journal on Soft Computing, Artificial Intelligence and Applications 	N/A	AI
COIT 2024	4th International Conference on Computing and Information Technology	Copenhagen, Denmark	AI
EEIEJ 2023	Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal	N/A	AI
IJE 2023	International Journal of Education	N/A	AI
AIMLA 2024	4th International Conference on AI, Machine Learning and Applications	Copenhagen, Denmark	AI
IT 2024	13th International Conference on Information Theory	Zurich, Switzerland	AI
CHENG  2024	International Conference on Advances in Chemistry & Chemical Engineering 	Virtual Conference	AI
DIFM 2023	First Workshop on Distributed infrastructures for foundation models	Bologna, Italy	AI
LiSci  2024	International Conference on Life Sciences	Virtual Conference	AI
MLTEC 2023	4th International Conference on Machine Learning Techniques	Dubai, UAE	AI
ICPRAM 2024	13th International Conference on Pattern Recognition Applications and Methods	Lisbon, Portugal	AI
ICAART 2024	16th International Conference on Agents and Artificial Intelligence	Lisbon, Portugal	AI
IUI 2024	ACM Conference on Intelligent User Interfaces	Greenville, South Carolina	AI
HAS  2024	International Conference on Humanities, Art and Social Studies	Virtual Conference	AI
ANaNO 2024	International Conference on Advanced Nanoscience and Technology 	Virtual Conference	AI
IUI 2024	Intelligent User Interfaces	Greenville, South Carolina	AI
ICFIT 2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau, China	AI
ICMERR 2023	2023 8th International Conference on Mechanical Engineering and Robotics Research (ICMERR 2023)	Krakow, Poland	AI
ICRIT 2024	2024 7th International Conference on Robotics and Intelligent Technology (ICRIT 2024)	Macau, China	AI
ICDMA--EI 2023	2023 The 9th International Conference on Digital Manufacturing and Automation (ICDMA 2023)	Singapore	AI
ICMIMT--Ei 2024	2024 15th International Conference on Mechanical and Intelligent Manufacturing Technologies (ICMIMT 2024)	Cape Town, South Africa	AI
ICMSR 2023	2023 the 9th International Conference on Mechatronics System and Robots (ICMSR 2023)	Singapore	AI
ICMSC 2023	2023 The 6th International Conference on Mechanical, System and Control Engineering (ICMSC 2023)	Singapore	AI
ICRE 2023	2023 7th International Conference on Reliability Engineering (ICRE 2023)	Bologna, Italy	AI
Affective-Health 2023	1st International Workshop on Affective Computing and Health Care: new research and industrial perspectives	Istanbul, Turkey	AI
RAAI 2023	IEEE--2023 the 3rd International Conference on Robotics, Automation and Artificial Intelligence (RAAI 2023)	Singapore	AI
ICSRS 2023	IEEE--2023 The 7th International Conference on System Reliability and Safety (ICSRS 2023)	Bologna, Italy	AI
ESSE--Ei 2023	2023 The 4th European Symposium on Software Engineering (ESSE 2023)	Napoli, Italy	AI
SPIE CVCI 2024	SPIE--2024 5th International Conference on Computer Vision and Computational Intelligence (CVCI 2024)	Bangkok, Thailand	AI
FLLM 2023	The International Symposium on Foundation and Large Language Models 	Abu Dhabi, UAE	AI
SPRA--EI 2023	2023 The 4th Symposium on Pattern Recognition and Applications (SPRA 2023)	Napoli, Italy	AI
BigDataAnalytics 2023	Big-Big Data Analytics Competition (CyberC, IEEE TCCC, IEEE TC @ BD)	Suzhou, China	AI
CNS  2024	The International Workshop on Cognitive and Neural Systems	Abu Dhabi, UAE	AI
LREC-COLING 2024	The 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation	Torino (Italy)	AI
AISTATS 2024	27th International Conference on Artificial Intelligence and Statistics	Valencia, Spain	AI
BDSN 2023	The 11th International workshop on Big Data and Social Networking Management and Security 	Abu Dhabi, UAE	AI
DSEA  2023	The 7th International Workshop on Data Science Engineering and its Applications	Abu Dhabi, UAE	AI
OSNT 2023	The 9th International Workshop on Online Social Networks Technologies	Abu Dhabi, UAE	AI
ANLP 2023	The 7th International Workshop on Advances in Natural Language Processing 	Abu Dhabi, UAE	AI
MOBILE 2024	5TH INTERNATIONAL CONFERENCE ON HUMAN-CENTERED DESIGN, OPERATION AND EVALUATION OF MOBILE COMMUNICATIONS	Washington Hilton Hotel, Washington DC, 	AI
SAMSN  2023	The 6th International Workshop on Sentiment Analysis and Mining of Social Networks	Abu Dhabi, UAE	AI
PhAI 2023	[CFA due Oct. 15] PhAI 2023 @ Erlangen, Germany (Dec. 15â16)	Erlangen, Germany	AI
AIMHC 2024	First IEEE International Conference on AI for Medicine, Health, and Care	Laguna Hills, CA	AI
OrMeKR 2023	Ordinal Methods for Knowledge Representation and Capture @ K-Cap 2023	Pensacola, Florida, USA	AI
DMM&L 2023	1st International Conference on Decision Making in Medicine and Law: Opportunities and pitfalls of information technologies	Rome, Italy	AI
AI4PMI 2023	Workshop on Artificial Intelligence for Predictive Maintenance and IIoT	Giza, Egypt	AI
PROPOR 2024	PROPOR 2024: 16th International Conference on Computational Processing of Portuguese	Santiago de Compostela	AI
CAIDS 2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad, Pakistan	AI
AEIS 2023	CPS--2023 3rd International Conference on Advanced Enterprise Information System (AEIS 2023)	London, UK	AI
ACM CSAI 2023	ACM--2023 7th International Conference on Computer Science and Artificial Intelligence (CSAI 2023)	Beijing, China	AI
ICVRT 2023	2023 6th International Conference on Virtual Reality Technology (ICVRT 2023)	Harbin, China	AI
PMAE 2023	2023 The 5th International Conference on Progress in Mechanical and Aerospace Engineering (PMAE 2023)	Da Nang, Vietnam	AI
IEEE CAIT 2023	IEEE 2023 4th International Conference on Computers and Artificial Intelligence Technology (IEEE CAIT 2023)	Macau, China	AI
ICSC 2024	IEEE International Conference on Semantic Computing	Laguna Hills, CA	AI
ICMLSC 2024	2024 8th International Conference on Machine Learning and Soft Computing (ICMLSC 2024)	Singapore	AI
IEEE Big Data - MMAI 2023	IEEE Big Data 2023 Workshop on Multimodal AI (Hybrid)	Online	AI
SI DFSTE 2023	SPECIAL ISSUE on Development of Fuzzy Sets and Their Extensions	N/A	AI
ACM AIEE 2024	ACM--2024 5th International Conference on Artificial Intelligence in Electronics Engineering (AIEE 2024)	Bangkok, Thailand	AI
ACM ICCDE 2024	ACM--2024 10th International Conference on Computing and Data Engineering (ICCDE 2024)	Bangkok, Thailand	AI
ICMAA--EI 2024	2024 8th International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2024)	Penang, Malaysia	AI
ICCRD--EI 2024	2024 The 16th International Conference on Computer Research and Development (ICCRD 2024)	Chengdu, China	AI
ICMM--Ei 2024	2024 The 15th International Conference on Mechatronics and Manufacturing (ICMM 2024)	Penang, Malaysia	AI
ICBCB 2024	2024 12th International Conference on Bioinformatics and Computational Biology (ICBCB 2024)	Tokyo, Japan	AI
ICCBB 2023	ACM--2023 7th International Conference on Computational Biology and Bioinformatics (ICCBB 2023)	Kuala Lumpur, Malaysia	AI
ACM ICMVA 2024	ACM--2024 The 7th International Conference on Machine Vision and Applications (ICMVA 2024)	Singapore	AI
SI on ATD&IS III 2023	Special Issue on Advanced Technologies in Data and Information Security III, Applied Sciences, MDPI	N/A	AI
CEII 2023	6th Asia Conference on Cognitive Engineering and Intelligent Interaction	Hong Kong, China	AI
AIACT 2024	2024 8th International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2024) 	Phuket, Thailand	AI
FOW 2023	Future of War Call For Papers	Washington DC	AI
Continuum4smartcities 2023	Special Issue on Computing Continuum and Federated Learning for Smart Cities	N/A	AI
Phuket, Thailand | AIACT 2024	2024 8th International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2024) 	Phuket, Thailand	AI
ICSeB 2023	2023 7th International Conference on Software and e-Business (ICSeB 2023)	Osaka, Japan	AI
IEISC 2024	2024 2nd Industrial Electronics and Intelligent Systems Conference (IEISC 2024)	Istanbul	AI
MLHMI 2024	2024 5th International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2024)	Kawasaki, Japan	AI
ICTTE 2023	2023 12th International Conference on Transportation and Traffic Engineering (ICTTE 2023)	Wuhan, China	AI
ICCAE 2024	2024 the 16th International Conference on Computer and Automation Engineering (ICCAE 2024)	Melbourne, Australia	AI
ICVARS--Ei 2024	2024 the 8th International Conference on Virtual and Augmented Reality Simulations (ICVARS 2024)	Melbourne, Australia	AI
AAME--EI 2024	2024 7th International Conference on Aeronautical, Aerospace and Mechanical Engineering (AAME 2024)	Hong Kong	AI
ICCTech 2024	2024 the 3rd International Conference on Computer Technologies (ICCTech 2024)	Bali Island, Indonesia	AI
ACM ICSCA 2024	ACM--2024 13th International Conference on Software and Computer Applications (ICSCA 2024)	Bali Island, Indonesia	AI
APCT 2024	2024 3rd Asia-Pacific Computer Technologies Conference (APCT 2024)	Wuhan, China	AI
ICMSS 2024	CPS--2024 the 8th International Conference on Management Engineering, Software Engineering and Service Sciences (ICMSS 2024)	Wuhan, China	AI
ACM AICCC 2023	ACM--2023 6th Artificial Intelligence and Cloud Computing Conference (AICCC 2023)	Kyoto, Japan	AI
MLSC 2024	5th International Conference on Machine Learning and Soft Computing	Vancouver, Canada	AI
CCCIoT 2024	5th International Conference on Cloud Computing and IoT	Vancouver, Canada	AI
SOFE  2024	10th International Conference on Software Engineering	 Vancouver, Canada	AI
AIBD 2024	5th International Conference on Artificial Intelligence and Big Data	 Vancouver, Canada	AI
APCS 2024	2024 The 2nd Asia Pacific Computer Systems Conference (APCS 2024)	Honolulu, Hawaii, USA	AI
ICICT 2024	2024 The 7th International Conference on Information and Computer Technologies (ICICT 2024)	Honolulu, Hawaii, USA	AI
ICIAI 2024	2024 the 8th International Conference on Innovation in Artificial Intelligence (ICIAI 2024)	Tokyo, Japan	AI
IEEE Xplore-Ei/Scopus-DMCSE 2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu, China	AI
ACM-Ei/Scopus-AIHPC 2023	2023 International Conference on Artificial Intelligence and High-Performance Computing (AIHPC 2023) -EI Compendex	Chengdu, China	AI
ACKIM 2024	2024 2nd Asia Conference on Knowledge and Innovation Management (ACKIM 2024)	Bangkok, Thailand	AI
ACM-EI/Scopus-ACAI 2023	2023 6th International Conference on Algorithms, Computing and Artificial Intelligence (ACAI 2023) -EI Compendex	Sanya, China	AI
ACMLC--EI 2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok, Thailand	AI
IPMI 2024	2024 International Conference on Image Processing and Machine Intelligence (IPMI 2024)	Batangas City, Philippines	AI
ICNLP--Ei 2024	2024 6th International Conference on Natural Language Processing (ICNLP 2024)	Xi'an, China	AI
ICSM 2024	International Conference on SMART MULTIMEDIA	Los Angeles, USA	AI
ACM IEIM 2024	ACM--2024 The 5th International Conference on Industrial Engineering and Industrial Management (IEIM 2024)	Nice, France	AI
WCCCT 2024	2024 7th World Conference on Computing and Communication Technologies (WCCCT 2024)	Chengdu, China	AI
FSTJ 2023	Food Science and Technology: An International Journal 	N/A	AI
OPTLJ 2023	Integrated Optics and Lightwave : An International Journal	N/A	AI
ITK 2024	Interaktiivinen Tekniikka Koulutuksessa	HÃ¤meenlinna, Finland	AI
IJAD 2023	International Journal of Advanced Dermatology 	N/A	AI
CGDEIJ 2023	Computer Game Development and Education: An International Journal	N/A	AI
JPS 2023	Journal of Political Science (JPS)	N/A	AI
RSEJ 2023	Renewable and Sustainable Energy: An International Journal	N/A	AI
PBIJ 2023	Pharmaceutical and Biomedical sciences: An International Journal	N/A	AI
JARES 2023	International Journal of Advance Robotics & Expert Systems 	N/A	AI
AEROIJ 2023	Aerospace Engineering: An International Journal 	N/A	AI
ACM SIGSIM PADS 2024	38th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation	Atlanta, Georgia, USA	AI
JoL 2023	International Journal of Law 	N/A	AI
IJMSA 2023	International Journal of Modelling, Simulation and Applications	N/A	AI
ESIJ 2023	Earth Sciences: an International Journal	N/A	AI
AITIJ 2023	Advances in Interconnect Technologies: An International Journal	N/A	AI
ADEIJ 2023	Advances in Engineering: an International Journal 	N/A	AI
ECOJ 2023	Ecology: An International Journal	N/A	AI
ISIR  2023	2023 4th International Conference on Information Security and Information Retrieval (ISIR 2023)	Bangkok, Thailand	AI
EvoMUSART 2024	Call for Papers - EvoMUSART 2024 (3-5 April 2024)	Aberystwyth, Wales, UK	AI
evostar 2024	EvoStar 2024 - The Leading European Event on BioâInspired Computation	Aberystwyth	AI
FAIML  2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing, China	AI
ICAIE 2024	2024 the 4th International Conference on Artificial Intelligence in Education (ICAIE 2024)	Chengdu, China	AI
IC&C--Ei 2024	2024 the 2nd International Conference on Intelligent Control and Computing (IC&C 2024)	Guangzhou, China	AI
RATIO 2023	The 1st International Conference on Robust Argumentation Machines	Bielefeld, Germany	AI
NMLM 2023	Frontiers: Neurocomputational models of language processing	N/A	AI
CSTE--Ei 2024	2024 The 6th International Conference on Computer Science and Technologies in Education (CSTE 2024)	Xi'an, China	AI
CMAIR 2023	2023 2nd International Conference on Mechatronics, Artificial Intelligence and Robotics (CMAIR 2023)	Chengdu,  China	AI
ACIIDS 2024	16th Asian Conference on Intelligent Information and Database Systems	Ras Al Khaimah, United Arab Emirates	AI
CCCN 2024	2024 The 2nd International Conference on Cloud Computing and Computer Network (CCCN 2024)	Singapore	AI
IEEE-CSECS 2023	2023 IEEE 6th International Conference on Software Engineering and Computer Science (CSECS 2023)	Chengdu, China	AI
ISAIM 2024	18th International Symposium on Artificial Intelligence and Mathematics	Fort Lauderdale, Florida, USA	AI
ISMSI 2024	2024 8th International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2024)	Singapore	AI
MICAD 2023	4th International Conference on Medical Imaging and Computer-Aided Diagnosis 	Cambridge, United Kingdom	AI
CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong	AI
Hong Kong-CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong	AI
ICAIBD 2024	2024 The 7th International Conference on Artificial Intelligence and Big Data (ICAIBD 2024)	Chengdu, China	AI
AIM&ABIA 2024	1st Artificial Intelligence Models and Artifacts for Business Intelligence Applications, organized by WorldCist'24	Lodz,Poland	AI
SCSN 2024	The 12th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Laguna Hills, CA, USA (Hybrid)	AI
AIDBEI 2024	AIDBEI2024: Diversity Workshop on Artificial Intelligence - Diversity, Belonging, Equity, and Inclusion	Vancouver, Canada	AI
ICoSSE 2024	2024 7th International Conference on Software and System Engineering (ICoSSE 2024)	Paris, France	AI
IEAI 2024	2024 5th International conference on Industrial Engineering and Artificial Intelligence (IEAI 2024)	Bangkok, Thailand	AI
SI ATW 2023	SPECIAL ISSUE on AI based Techniques in Wireless Sensor Networks	N/A	AI
MSIE--EI 2024	2024 6th International Conference on Management Science and Industrial Engineering (MSIE 2024)	Bangkok, Thailand	AI
ACM TALLIP Special Issue 2024	ACM TALLIP Special Issue on -AI and NLP for Emotions, Feelings, and Mental Health in low-resource languages	N/A	AI
ESCC 2024	2024 the 6th European Symposium on Computer and Communications (ESCC 2024)	Verbania, Italy	AI
ISAI 2024	2024 the 4th International Symposium on AI (ISAI 2024)	Chengdu, China	AI
BANNAI 2023	Bionic Artificial Neural Networks and Artificial Intelligence	N/A	AI
ARAE--Ei 2024	2024 the 3rd International Conference on Advanced Robotics and Automation Engineering (ARAE 2024)	Shanghai, China	AI
IEEE AIRC 2024	IEEE--2024 the 5th International Conference on Artificial Intelligence, Robotics and Control (AIRC 2024)	Cairo, Egypt	AI
IEEE ICCCR 2024	IEEE--2024 the 4thInternational Conference on Computer, Control and Robotics (ICCCR 2024)	Shanghai, China	AI
CETA 2024	2024 3rd International Conference on Computer Engineering, Technologies and Applications (CETA 2024)	Marmaris, Turkey	AI
ISMDS 2024	ISMDS2024: The International Symposium on Medical Decision Science 2024	Chiang Mai, Thailand	AI
ICCAI 2024	2024 10th International Conference on Computing and Artificial Intelligence (ICCAI 2024)	Bali, Indonesia	AI
IMIP 2024	2024 6th International Conference on Intelligent Medicine and Image Processing (IMIP 2024)	Bali, Indonesia	AI
ICMAS 2024	2024 the 5th International Conference on Mechanical and Aerospace Systems (ICMAS 2024)	Cairo, Egypt	AI
ICRoM 2024	2024 the 6th International Conference on Robotics and Mechatronics (ICRoM 2024)	Cape Town, South Africa	AI
ICCAR 2024	2024 10th International Conference on Control, Automation and Robotics (ICCAR 2024)	Singapore	AI
PROPOR-Demos 2024	16th International Conference on Computational Processing of Portuguese - Demonstration Session	Santiago de Compostela, Spain	AI
WCSA 2024	2024 International Workshop on Control Sciences and Automation (WCSA 2024)	Singapore	AI
CLOSER 2024	14th International Conference on Cloud Computing and Services Science	Lisbon, Portugal	AI
CFP-CIPCV-EI/SCOPUS 2024	2024 2nd International Conference On Intelligent Perception And Computer Vision	Xiamen, China	AI
ICCAD 2024	2024 8th IEEE/IFAC International Conference on Control, Automation and Diagnosis	Paris - France	AI
CSA 2024	The 6th Conference on Computing Systems and Applications	Algiers Algeria 	AI
OLA 2024	OLA'2024 Int. Conf. on Optimization & Learning	Dubrovnic	AI
IEEE CAI 2024	IEEE Conference on Artificial Intelligence	Singapore	AI
ACAE 2024	2024 the 5th Asia Conference on Automation Engineering (ACAE 2024)	Melbourne, Australia	AI
ICCTA 2024	2024 10th International Conference on Computer Technology Applications (ICCTA 2024)	Vienna, Austria	AI
ICMAI 2024	International Conference on Mathematics and Artificial Intelligence	Beijing, China	AI
ICCRE 2024	IEEE--2024 9th International Conference on Control and Robotics Engineering (ICCRE 2024)	Osaka University, Osaka, Japan	AI
ISDEA 2024	2024 3rd International Conference on Intelligent Systems Design and Engineering Applications (ISDEA 2024)	Tottori, Japan	AI
ACM ICMAI  2024	ACM--2024 9th International Conference on Mathematics and Artificial Intelligence (ICMAI 2024)	Beijing, China	AI
SIUSAI 2024	2024 3rd International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2024)	Qingdao, China	AI
Disruptive 2024	Disruptive Creativity with Generative AI: Case Studies from Science, Technology and Education	N/A	AI
SI GACVA 2024	SPECIAL ISSUE on Generative AI for Computer Vision Applications:  A boon or a bane?	N/A	AI
AAIMLB 2023	Application of Artificial Intelligence and Machine Learning in Biology	N/A	AI
AAIMLB 2023	Application of Artificial Intelligence and Machine Learning in Biology	N/A	AI
AAIMLB 2023	Application of Artificial Intelligence and Machine Learning in Biology	N/A	AI
AIAET 2024	AI Applications in Engineering and Technology	Bangalore	AI
XR and AI in Medicine and Rehabilitation 2023	Springer Information Systems Frontiers - Special Issue on eXtended Reality and Artificial Intelligence in Medicine and Rehabilitation	N/A	AI
 Ideal Machine-Human Interface 2024	Special Call for Computers in Human Behavior: The AI Interface: Designing for the Ideal Machine-Human Experience	USA	AI
CSL VSI Conversational AI 2024	Computer Speech and Language Special Issue on Conversational AI and Dialog Systems	N/A	AI
ICACR--EI 2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Shenzhen, China	AI
CC 2024	Computing Conference 2024	London, United Kingdom	AI
ICMLT 2024	2024 9th International Conference on Machine Learning Technologies (ICMLT 2024)	Oslo, Norway	AI
IEEE CCAI 2024	2024 IEEE the 4th International Conference on Computer Communication and Artificial Intelligence (CCAI 2024)	Xidian University, Xi'an, China	AI
ACM ICHMI 2024	ACM--2024 4th International Conference on HumanâMachine Interaction (ICHMI 2024)	Xi'an, China	AI
AI for Mental Health 2024	Artificial Intelligence for Mental Health: Advancements, Challenges, and Ethical Implications	N/A	AI
ICDM 2024	24th Industrial Conference on Data Mining	Dresden, Germany	AI
MLDM 2024	20th International Conference on Machine Learning and Data Mining	Dresden, Germany	AI
Special Issue - BSBP 2024	Biomedical Sensing and Bioinformatics Processing	N/A	AI
IWPR 2024	2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen, China	AI
IEEE SEAI  2024	2024 4th IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2024)	Xiamen, China	AI
MIPRO 2024	47th ICT and Electronics Convention	Opatija, Croatia	AI
FLAIRS 2024	37th International FLAIRS Conference	Miramar Beach, Florida	AI
JSAI-ISAI 2024	16th JSAI International Symposia on AI	Hamamatsu, Japan	AI
ISDFS 2024	12th International Symposium on Digital Forensics and Security	San Antonio, TX, USA	AI
ICWOC 2024	2024 12th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC 2024)	Chongqing, China	AI
MoStart 2024	International Conference on Digital Transformation in Education and Artificial Intelligence Applications	Mostar	AI
ACDL 2024	7th Advanced Course on Data Science & Machine Learning	Tuscany, Italy	AI
ICVR 2024	IEEE--2024 the 10th International Conference on Virtual Reality (ICVR 2024)	Bournemouth, United Kingdom	AI
IEEE ACIRS 2024	IEEE--2024 the 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2024)	Dalian, China	AI
AI Safety 2024	Special Issue for the Journal Frontiers in Robotics and AI on AI Safety: Safety Critical Systems	N/A	AI
ICANN 2024	33rd International Conference on Artificial Neural Networks	Lugano-Viganello, Switzerland	AI
Springer ISPR'2024	The 4'th International Conference on Intelligent Systems and Pattern Recognition	Istanbul, Turkey	AI
FAIML 2024	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Beijing, China	AI
AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	 Kuala Lumpur, Malaysia	AI
Scopus-AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	Kuala Lumpur, Malaysia	AI
JDSA MSBE 2023	International Journal of Data Science and Analytics: Special Issue on Data Science and AI in Marine Science and Blue Economy	N/A	AI
Curious 2024	CURIOUS2024Â­ FUTURE INSIGHTâ¢ CONFERENCE	Mainz, Germany (Rheingoldhalle) & online	AI
JCICE 2024	2024 International Joint Conference on Information and Communication Engineering(JCICE 2024)	Chengdu, China	AI
SCA 2024	SMART CITY ASIA 2024	Saigon Exhibition and Convention Center 	AI
ICCSSE 2024	2024 10th International Conference on Control Science and Systems Engineering (ICCSSE 2024)	Beijing, China	AI
EAICI 2024	Explainable AI for Cancer Imaging	N/A	AI
IEEE ICA 2022	The 6th IEEE International Conference on Agents	Adelaide, Australia	AI
AUEN 2024	3rd International Conference on Automation and Engineering	Virtual Conference	AI
MIBIO  2024	3rd International Conference of Multidisciplinary & Interdisciplinary Bioscience	Virtual Conference	AI
BIOEN  2024	7th International Conference on Biomedical Engineering and Science	Virtual Conference	AI
CPAIOR 2024	International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Uppsala, Sweden	AI
DEPLING  2023	International Conference on Dependency Linguistics	Washington D.C., USA	AI
SI MAI 2023	SPECIAL ISSUE on  Mathematics for Artificial intelligence and Artificial intelligence for Mathematics	N/A	AI
FL@FM-NeurIPS 2023	International Workshop on Federated Learning in the Age of Foundation Models in Conjunction with NeurIPS 2023	New Orleans, LA, USA	AI
PJA 2023	Art, Aesthetics, and Artificial Intelligence	N/A	AI
CompAuto--EI 2023	2023 the 3rd International Conference on Computers and Automation (CompAuto 2023)	Paris, France	AI
IEEE CRC 2023	IEEE--2023 the 8th International Conference on Control, Robotics and Cybernetics (CRC 2023)	Changsha, China	AI
ACAIMSF 2023	Advanced Computational and Artificial Intelligence Methods in Smart Forestry	Bern, Switzerland	AI
CRET--Ei 2023	2023 International Conference on Control, Robotics Engineering and Technology (CRET 2023)	Paris, France	AI
ICIMA 2023	2023 the 7th International Conference on Intelligent Manufacturing and Automation Engineering (ICIMA 2023) 	Changsha, China	AI
ICRCA 2024	2024 the 8th International Conference on Robotics, Control and Automation (ICRCA 2024)	Shanghai, China	AI
ICRMV 2024	2024 the 8th International Conference on Robotics and Machine Vision (ICRMV 2024)	Shanghai, China	AI
IEEE ICARA 2024	IEEE--2024 the 10th International Conference on Automation, Robotics and Applications (ICARA 2024)	Athens, Greece	AI
